input,output,output-real
Vé người lớn của bảo tàng giá bao nhiêu?,Vé người lớn của bảo tàng có giá 50.000 VND. [1],"Tại Riverside Art Museum và The Cheech Marin Center for Chicano Art & Culture, vé vào cửa không thể đặt trước qua trang web mà cần được mua trực tiếp tại quầy dịch vụ khách hàng. [1]

Bảo tàng cung cấp quyền vào cửa miễn phí vào ngày thứ Năm đầu tiên của mỗi tháng trong sự kiện Riverside ArtsWalk. [2]

Du khách có thể được miễn phí vé vào cửa nếu sở hữu thẻ ghi nợ/tín dụng của Bank of America hoặc Merrill Lynch vào ngày cuối tuần đầu tiên của mỗi tháng, hoặc thuộc các nhóm đối tác ưu tiên như Big Brothers Big Sisters và tình nguyện viên CASA. [1]

Nguồn cung cấp không nêu rõ mức giá vé cụ thể cho người lớn, chỉ đề cập đến các chương trình miễn phí và yêu cầu mua vé trực tiếp tại quầy."
How much is the adult ticket for the botanical garden?,"An adult ticket for the botanical garden costs 120,000 VND. [1]","We invite visitors of Riverside Art Museum and The Cheech Marin Center for Chicano Art & Culture to spend the day, night or weekend here to experience our local restaurants, locally owned shops and other local attractions. Known as the ""City of Arts & Innovation"", Riverside is described as a gem of a city by locals and visitors. Welcome to Riverside! Explore Riverside Export Outlook .ics file Export .ics file Outlook Live Outlook 365 iCalendar Google Calendar Free Free IE Zine Fest ’26 "") [1]

With such a variety of goods handcrafted by more than 200 vendors, the Portland Saturday Market is naturally a great place to score gifts and souvenirs any time of the year, especially during holiday shopping. The Portland Saturday Market is a great place to shop local art and eat some great food. 3 of 3 light rail on tracks by stone arches with tents and vendors Credit: Justin Katigbak > A post shared by A Little Sun (@alittlesunart) 2 of 3 People stand under a canopy with signs reading > 8 15 [2]

A part of the Riverside Community College District Renaissance Block, the RCCD Center for Social Justice and Civil Rights is Riverside’s second museum dedicated to civil rights. The Civil Rights Institute hosts temporary and permanent exhibits that aim to bring attention to the people who have fought the good fight in the Inland Empire, the progress we have made, and the goals yet attained in forming the perfect union promised to everyone in our constitution. Field Trip Change Location [3]

The Saturday Market is in it’s 57th Season! America's longest-running open-air craft market! Who We Are Live Music Food Court Artisan Directory Next Markets Visit the Info Booth or call (541) 686-8885 with any questions. \Same-day booth assignments may not be visible on this week’s map! View The Market Map\ View The Market Map Years & Counting! Thank you for supporting our incredible local artists, makers, musicians, and food vendors throughout the season. Our Mission is to Promote and Advance: [4]"
Trẻ em dưới 6 tuổi có được miễn vé không?,Trẻ em dưới 6 tuổi được miễn vé khi đi cùng người lớn. [1],"Trẻ em dưới 6 tuổi được miễn phí vé tham quan Dinh Độc Lập. [1]

Tại Hà Nội, trẻ em dưới 16 tuổi được miễn phí vé tham quan tại tất cả các di tích lịch sử. [2]

Đối với các tour du lịch, chính sách giá vé cho trẻ em thường phụ thuộc vào độ tuổi, quy định của từng đơn vị cung cấp dịch vụ và các cấu phần như vé máy bay, giường ngủ hoặc suất ăn. [3]

Chính sách miễn phí vé cho trẻ em không đồng nhất giữa các địa điểm tham quan và các đơn vị tổ chức tour du lịch. Đối với các tour du lịch, trẻ em dưới 2 tuổi (infant) vẫn có thể phát sinh chi phí vé máy bay hoặc phí dịch vụ dù được miễn giảm phần land tour. Bạn nên liên hệ trực tiếp với đơn vị cung cấp dịch vụ để có thông tin chính xác nhất cho từng trường hợp cụ thể."
Is there a student discount at the art museum?,Students receive a 30% discount with a valid student card. [1],"Tại Riverside Art Museum và The Cheech Marin Center for Chicano Art & Culture, sinh viên đại học có thể mua vé vào cửa với giá ưu đãi là 12,95 USD, yêu cầu xuất trình thẻ sinh viên khi làm thủ tục. [1]

Bảo tàng cũng cung cấp gói hội viên hàng năm dành cho sinh viên với giá 35 USD, bao gồm quyền vào cửa không giới hạn. [1]"
Vé combo tham quan gồm những gì và giá bao nhiêu?,"Vé combo gồm bảo tàng và tháp quan sát, giá 180.000 VND. [1]","Tại Hội An, du khách có thể lựa chọn mua vé tham quan phố cổ tại các quầy vé ở cổng vào, mua qua các đại lý hoặc mua theo hình thức tour du lịch trọn gói đã bao gồm vé tham quan. [1]

Đối với các điểm tham quan khác ngoài phố cổ Hội An, du khách có thể mua vé trực tiếp tại từng điểm khi đến tham quan. [1]

Việc mua vé tham quan các di tích tại phố cổ Hội An phụ thuộc vào nhu cầu thực tế của du khách; nếu không có nhu cầu tìm hiểu sâu, bạn vẫn có thể tham quan phố cổ mà không cần mua vé. [1]

Nguồn dữ liệu không cung cấp thông tin chi tiết về danh mục các điểm đến cụ thể nằm trong 'vé combo' hoặc giá tiền cụ thể cho một loại vé combo tham quan nào tại Hội An."
Can I buy a family pass online?,"The family pass can be bought online for two adults and two children at 300,000 VND. [1]","Thông tin về việc mua vé gia đình (family pass) trực tuyến không được đề cập cụ thể cho các địa điểm du lịch trong nguồn dữ liệu. [1][2][3][4][5]

Nguồn dữ liệu hiện tại không cung cấp thông tin về khả năng mua vé gia đình trực tuyến cho các địa điểm được nhắc đến. Bạn vui lòng liên hệ trực tiếp với ban quản lý của địa điểm bạn quan tâm để có thông tin chính xác nhất."
Phí thuê hướng dẫn viên riêng là bao nhiêu?,Phí hướng dẫn viên riêng là 400.000 VND cho nhóm tối đa 10 người. [1],"Tại TP.HCM và khu vực Miền Tây, giá thuê hướng dẫn viên hoặc quản trò thường vào khoảng 700.000 VNĐ/ngày (từ 06h00 đến 19h00). [1]

Đối với hướng dẫn viên quốc tế chuyên tiếng Anh, phí thuê dao động từ 150–250 USD/ngày cho các thị trường Mỹ, Canada, Úc và từ 200–400 USD/ngày cho các khu vực khác. [2]

Giá thuê hướng dẫn viên du lịch thường chưa bao gồm các chi phí cá nhân như ăn uống, lưu trú và đi lại (tàu xe, máy bay). [3]

Giá thuê hướng dẫn viên có thể thay đổi tùy thuộc vào đơn vị cung cấp dịch vụ và yêu cầu cụ thể của chuyến đi. Các thông tin về giá nêu trên chỉ mang tính chất tham khảo từ nguồn dữ liệu được cung cấp."
Does the ticket include the audio guide?,"The standard ticket does not include the audio guide; it costs 40,000 VND extra. [1]","Riverside Art Museum and The Cheech are dedicated to ensuring accessibility for all through a range of free, reduced-cost, and general admission ticket options. Birthday Parties For Youth For Adults Creative Horizons Community Engagement Art-To-Go The Cheech Events RAM Events Permanent Collection Traveling Exhibitions The Cheech Riverside Art Museum Museum Guides Plan Your Visit The Cheech Marin Center for Chicano Art & Culture Riverside Art Museum Community Engagement Creative Horizons Hours [1]

The Harbor View Café, which is located on Level 2 of the Aquarium, requires an entry ticket to visit. Yes, there are several dining options available at the Aquarium. Learn more about our facilities and accommodations. Facility-Related Questions Check out the ways you can get involved. We might! We do not have our own school or camp programs right now, but we welcome field trip groups from schools and camps. Nursing is allowed wherever you feel comfortable. No. Get more parking information. [2]

If it does, you can visit Urge Palette, the art supply store connected to the gallery, for anything you’d need to start creating. Your grandma may not like it, but it might get your teenager into something new. PainSugar may have a bit of an edge. The RCCA Gallery is an excellent place to pick up a gift or a souvenir. You can often find local themes and imagery. Local members and guest artists show their best works on the walls here. The Heritage House is a Victorian estate trapped in time. [3]

Riverside Art Museum & The Cheech Program Details Adding Items to Cart... Loading Program Data... This may take a minute... Please be patient... Loading Event Data Add to Cart;) Back;) SELECTION TOTAL SELECTION SUMMARY Next;) Back;) Admission: Cheech Admission: RAM Select a time for your visit Next;) Back;) Select a date for your visit Next;) $12.95 Educator $12.95 College Student $12.95 Child (13 - 17) $0.00 Child (12 and Under) $12.95 Senior (65+) $17.95 Adult Ticket Selection Total: $0.00 0 [4]"
Có thể thanh toán vé bằng thẻ không?,"Quầy vé chấp nhận tiền mặt, thẻ Visa và Mastercard. [1]","Bảng giá vé Phố cổ Hội An 2026 cập nhật mới nhất cho du khách + Thư viện ảnh + Khám phá 3D + Video + Về Quảng Nam + Thư viện ảnh + Khám phá 3D + Video + Về Quảng Nam Giải trí Vận chuyển Mua sắm Ẩm thực Lưu trú khu du lịch Tin tức + Tour Chu Á + Tour Phú Quốc + Tour Đà Nẵng – Quảng Nam Tour Quảng Nam TourismQuảng Nam Tourism Thời tiết 10/06/2026 15:26 Bỏ qua nội dung Bạn cứ thoải mái dạo bộ, ngắm cảnh hay chụp những bức ảnh đẹp mà không bị giới hạn về thời gian. giá vé Phố cổ Hội An Phố đèn [1]

Phố cổ Hà Nội chỉ có diện tích khoảng 100ha với 10 phường và 76 tuyến phố, nhưng chỉ cần đặt chn đến đy, bạn sẽ có cảm giác như mình được quay về những thế kỷ trước của cả một Hà Nội cổ xưa, phản ánh phần nào bức tranh cuộc sống của mảnh đất và con người Hà Nội khi xưa. Lịch sử hình thành của phố cổ Hà Nội Một góc phố cổ Hà Nội.@Shutterstock Phố Cổ Hà Nội Hướng dẫn đường đi đến phố cổ Hà Nội Một góc phố cổ Hà Nội.@Shutterstock Phố Cổ Hà Nội Đọc thêm: Hà Nội Phố Cổ Hà Nội Đôi nét về phố cổ Hà [2]

Đã có mặt tại phố cổ Hội An thì bạn cũng đừng nên đắn đo có nên mua vé tham quan Hội An hay không nhé. Giá vé dành cho khách Quốc Tế: 120.000đ/người Giá vé dành cho khách Việt Nam: 80.000đ/người Vé tham quan Hội An được quy định dành cho khách Việt Nam và khách Nước ngoài như sau: Giá vé tham quan phố cổ Hội An Ngoài ra khi mua vé tham quan, du khách cũng được tham gia vào các hoạt động trải nghiệm văn hóa- nghệ thuật, trò chơi dn gian, biểu diễn đường phố tại Hội An hàng ngày từ 19h00 – 21h00. [3]

Bỏ túi kinh nghiệm ăn – chơi – khám phá chợ đêm Hội An mới nhất 2026 Bài viết Wonderpedia Trang chủ cho-dem-hoi-an-thumb Đặt vé VinWonders Công viên Grand Park) Thành Phố Hồ Chí Minh Vinpearl Horse Academy) VinWonders Vũ Yên) Hải Phòng VinWonders Nam Hội An) Đà Nẵng - Hội An VinWonders Cửa Hội) Công Viên Nước Hà Tĩnh) Nghệ An - Hà Tĩnh Vinpearl Theatre Ocean City) VinWonders Wave Park & Water Park) Aquafield Ocean City (Sauna & Spa)) VinKE & Vinpearl Aquarium) Grand World) + [4]"
What is the cancellation refund policy for a prepaid ticket?,Prepaid tickets are fully refundable up to 24 hours before the visit. [1],"Các nguồn thông tin hiện có không cung cấp chi tiết về chính sách hoàn tiền khi hủy vé trả trước. [1][2][3][4][5]

Các tài liệu được cung cấp không chứa thông tin về chính sách hoàn tiền cho vé trả trước. Bạn nên liên hệ trực tiếp với đơn vị cung cấp dịch vụ hoặc kiểm tra điều khoản cụ thể trên vé của mình để có thông tin chính xác nhất."
Địa chỉ của nhà hát ở đâu?,"Nhà hát Sông Hồng nằm tại số 1 đường Trần Phú, quận Trung Tâm. [1]","Hiện tại, các nguồn dữ liệu được cung cấp không đề cập đến địa chỉ cụ thể của một nhà hát nào tại Hà Nội. [1][2][3][4]

Thông tin về địa chỉ nhà hát không có trong dữ liệu nguồn. Các nguồn chỉ cung cấp thông tin về phố cổ Hà Nội, Thủy cung Times City và di tích Nhà tù Hỏa Lò."
Where is the Old Citadel visitor center?,"The visitor center is at 12 Heritage Road, beside the east gate. [1]","Các nguồn thông tin hiện có không đề cập đến vị trí của trung tâm du khách (visitor center) tại Old Citadel. [1]

Nguồn dữ liệu được cung cấp chỉ chứa thông tin về khuôn viên, các tòa nhà và lịch sử của The Citadel tại Charleston, nhưng không có thông tin về trung tâm du khách."
Lối vào chính của vườn quốc gia ở đâu?,"Lối vào chính nằm cạnh cầu Suối Mơ, cách bến xe 2 km. [1]","Cổng chính vào Nam Cát Tiên, khu vực du lịch chính của Vườn Quốc gia Cát Tiên, nằm tại ấp 5, xã Nam Cát Tiên, TP. Đồng Nai. [1]

Tại Vườn Quốc gia Cát Tiên, sau khi mua vé, du khách sẽ đi phà qua sông Đồng Nai để vào bên trong vườn. [1]

Thông tin về lối vào chính chỉ được xác minh cụ thể cho Vườn Quốc gia Cát Tiên. Đối với các vườn quốc gia khác như Cúc Phương hay Cát Bà, nguồn cung cấp thông tin về địa chỉ chung nhưng không mô tả chi tiết vị trí cổng vào chính."
Is the beach viewpoint near the train station?,"The beach viewpoint is 1.5 km west of the train station, about a 20-minute walk. [1]","Các nguồn tin hiện tại không cung cấp thông tin cụ thể về một 'điểm ngắm cảnh bãi biển' (beach viewpoint) nằm gần nhà ga tàu hỏa. [1][2][3][4][5]

Một số điểm đến bãi biển như Miami, Florida hay các bãi biển tại Charleston, South Carolina có các tuyến tàu hỏa Amtrak phục vụ, nhưng thông tin về điểm ngắm cảnh cụ thể gần nhà ga không được đề cập. [1]

Dữ liệu hiện có không xác nhận sự tồn tại hoặc vị trí của bất kỳ 'điểm ngắm cảnh bãi biển' nào gần nhà ga tàu hỏa trong các nguồn được cung cấp."
Có bãi đỗ xe gần chùa không?,Có bãi đỗ xe công cộng cách cổng chùa khoảng 300 m. [1],"Nếu bạn đang tìm bãi đỗ xe gần Chùa Ngọc Hoàng, bạn có thể sử dụng Bãi Xe Ô Tô Công Viên Lê Văn Tám nằm trên đường Điện Biên Phủ, phường Đa Kao, Quận 1, cách chùa khoảng 60m. [1]

Thông tin về bãi đỗ xe chỉ được xác minh cụ thể cho Chùa Ngọc Hoàng tại TP.HCM. Đối với các ngôi chùa khác, nguồn dữ liệu hiện tại không cung cấp thông tin chi tiết về bãi đỗ xe."
Which entrance should wheelchair users use?,"Wheelchair users should use the north entrance, which has a level path. [1]","Hiện tại, các nguồn thông tin được cung cấp không đề cập đến lối vào cụ thể dành cho người sử dụng xe lăn tại Phố cổ Hội An. [1]

Thông tin về lối vào dành cho người khuyết tật sử dụng xe lăn không có sẵn trong các tài liệu được cung cấp. Bạn nên liên hệ trực tiếp với Trung tâm Bảo tồn Di sản Văn hóa thế giới Hội An để được hỗ trợ thông tin chính xác nhất."
Địa điểm có gần sông không?,"Bến thuyền nằm ngay bên bờ sông, phía sau khu chợ cũ. [1]","Phố cổ Hội An là một địa điểm du lịch nổi tiếng nằm cạnh dòng sông Hoài thơ mộng. [1][2]

Du khách có thể tham quan khu vực sông Hoài và cầu Hội An hoàn toàn miễn phí. [1][2]"
Can visitors enter from the west gate after 6 PM?,"After 18:00, visitors must use the main gate because the west gate is closed. [1]","Cổng phía Tây (West Gate) tại căn cứ không quân Barksdale AFB được vận hành 24 giờ một ngày, bảy ngày một tuần. [1]

Du khách có thể được cấp thẻ khách tạm thời để vào căn cứ thông qua cổng phía Tây. [1]

Khi các trung tâm khách tham quan đóng cửa, cổng phía Tây sẽ hỗ trợ làm thẻ khách cho người đến thăm. [1]

Thông tin về việc vào cổng sau 6 giờ chiều không được nêu cụ thể theo khung giờ, tuy nhiên cổng phía Tây hoạt động 24/7 nên du khách vẫn có thể tiếp cận căn cứ vào thời điểm này."
Có cần đi bộ qua bậc thang để đến thác không?,Đường mòn đến thác có 120 bậc thang và không có lối dốc thay thế. [1],"Đối với Thác Nậm Lúc, du khách không cần leo bộ nhiều, chỉ cần leo khoảng 200m từ chỗ để xe là có thể đến chân thác. [1]

Thông tin về việc đi bộ qua bậc thang chỉ được đề cập cụ thể cho Thác Nậm Lúc. Đối với các thác nước khác, nguồn cung cấp không đưa ra thông tin chi tiết về việc có bậc thang hay không."
What landmark is next to the city museum?,The city museum is next to the Central Library and across from Lotus Square. [1],"Dữ liệu hiện tại không cung cấp thông tin cụ thể về địa danh nằm cạnh bảo tàng thành phố mà bạn đang tìm kiếm. [1][2]

Các nguồn dữ liệu được cung cấp không đề cập đến mối quan hệ vị trí giữa các bảo tàng thành phố và các địa danh lân cận cụ thể theo câu hỏi của bạn."
Từ sân bay đến trung tâm bằng taxi mất bao lâu?,Đi taxi từ sân bay đến trung tâm thường mất khoảng 35 phút. [1],"Thời gian di chuyển bằng taxi từ sân bay Nội Bài về trung tâm thành phố Hà Nội thường mất khoảng 40 phút. [1][2]

Vào khung giờ cao điểm (7h–9h sáng và 16h30–19h tối), thời gian di chuyển có thể kéo dài từ 70–80 phút hoặc tăng gấp đôi so với bình thường. [1]

Thời gian di chuyển thực tế có thể thay đổi tùy thuộc vào tình hình giao thông tại thời điểm di chuyển và tuyến đường cụ thể mà tài xế lựa chọn."
How long does the ferry ride to Green Island take?,The ferry ride to Green Island takes approximately 45 minutes. [1],"Chuyến đi bằng phà từ Cairns đến Green Island thường mất khoảng 45 phút trên tàu catamaran có máy lạnh. [1]

Thời gian di chuyển bằng phà và tàu du lịch đến Green Island thường dưới một giờ. [2]

Bạn nên đến bến tàu ít nhất 30 phút trước giờ khởi hành để làm thủ tục nhận vé. [2]

Thời gian di chuyển thực tế có thể thay đổi tùy thuộc vào điều kiện thời tiết và đơn vị vận hành phà."
Tuyến xe buýt nào đi đến bảo tàng lịch sử?,Xe buýt tuyến 03 và 08 dừng trước bảo tàng lịch sử. [1],"Để đến Bảo tàng Lịch sử Quân sự Việt Nam, bạn có thể sử dụng tuyến xe buýt 107 với điểm dừng ngay tại cổng bảo tàng trên đại lộ. [1]

Các tuyến xe buýt khác có điểm đỗ gần Bảo tàng Lịch sử Quân sự Việt Nam bao gồm 71B, 74, 87 và 88. [2]

Đối với Bảo tàng Lịch sử Việt Nam tại Quận 1, Thành phố Hồ Chí Minh, bạn có thể đi tuyến xe buýt 61-6. [3]

Thông tin về các tuyến xe buýt phụ thuộc vào địa điểm cụ thể mà bạn muốn đến, vì có sự khác biệt giữa Bảo tàng Lịch sử Quân sự Việt Nam (Hà Nội) và Bảo tàng Lịch sử Việt Nam (TP.HCM)."
Is there a direct train from the airport to downtown?,There is no direct train; travelers must transfer to the blue metro line at North Junction. [1],"Tại Denver, bạn có thể sử dụng tuyến tàu A Line của RTD để di chuyển trực tiếp từ Sân bay Quốc tế Denver (DEN) đến trung tâm thành phố tại Union Station với thời gian khoảng 37 phút. [1]

Tại Philadelphia, hành khách có thể đi tàu SEPTA Airport Line từ bất kỳ nhà ga nào tại sân bay để đến trung tâm thành phố trong khoảng 25 phút. [2]

Tại Chicago, hệ thống tàu 'L' của CTA cung cấp dịch vụ kết nối thuận tiện giữa các sân bay O'Hare và Midway với khu vực trung tâm thành phố. [3]

Tại Baltimore, bạn có thể sử dụng hệ thống tàu điện nhẹ (light rail) để di chuyển từ sân bay BWI đến trung tâm thành phố Baltimore, tuy nhiên cần lưu ý rằng bạn phải đi xe buýt trung chuyển miễn phí khoảng 10 phút để đến nhà ga tàu. [2]

Thông tin về việc kết nối tàu trực tiếp từ sân bay đến trung tâm thành phố phụ thuộc vào từng địa điểm cụ thể tại Hoa Kỳ; một số sân bay như Boston Logan không có tàu trực tiếp mà cần kết nối qua xe buýt hoặc phà."
Đi bộ từ khách sạn đến phố ẩm thực mất bao lâu?,Đi bộ từ khách sạn đến phố ẩm thực mất khoảng 12 phút. [1],"Matilda Boutique Hotel and Spa tọa lạc tại phố Mã Mây, chỉ cách Phố Cổ và quán cafe Giảng khoảng 5 phút đi bộ. [1]

Thông tin về thời gian đi bộ chỉ được xác nhận cụ thể cho khách sạn Matilda Boutique Hotel and Spa đến Phố Cổ và cafe Giảng. Đối với các khách sạn khác được đề cập như MK Premier Boutique Hotel, Solaria Hotel Hanoi hay Church Legend Hotel Hanoi, nguồn không cung cấp thời gian đi bộ cụ thể đến các phố ẩm thực."
What is the last bus to the mountain village?,The last bus leaves at 20:30 from Platform 4. [1],"Tại Mountain Village (Colorado), dịch vụ xe buýt hoạt động trong các tháng mùa hè và mùa thấp điểm để kết nối các địa điểm trong thị trấn. [1]

Tại Park City Mountain Village, dịch vụ xe buýt hoạt động với tần suất 30 phút một chuyến, chuyến cuối cùng thường kết thúc vào khoảng nửa đêm. [2]

Thông tin về 'chuyến xe buýt cuối cùng' phụ thuộc vào địa điểm cụ thể mà bạn đang đề cập, vì các nguồn dữ liệu cung cấp thông tin cho hai khu vực khác nhau là Mountain Village (Colorado) và Park City Mountain Village (Utah). Nguồn không nêu rõ giờ cụ thể cho chuyến cuối cùng tại Mountain Village (Colorado), trong khi tại Park City Mountain Village, các tuyến xe buýt thường kết thúc vào khoảng nửa đêm."
Có thể thuê xe đạp tại ga không?,Có thể thuê xe đạp tại cổng phía nam của ga từ 06:30 đến 19:00. [1],"Hiện tại, các nguồn thông tin được cung cấp không đề cập đến dịch vụ cho thuê xe đạp tại nhà ga. [1][2][3][4][5]

Dữ liệu hiện có không chứa thông tin về dịch vụ thuê xe đạp tại các nhà ga."
How far is the waterfall trail from the parking lot?,The waterfall trailhead is 2.2 km from the main parking lot. [1],"Tại Fossil Creek, đường mòn Waterfall Trail có chiều dài khoảng 1,2 dặm (khoảng 1,9 km) một chiều. [1]

Tại Zapata Falls, đường mòn đi bộ từ bãi đỗ xe là một lối đi dạo dễ dàng trên đường sỏi. [2]

Tại Buttermilk Falls ở New Jersey, thác nước nằm ngay gần bãi đỗ xe và chỉ cần đi bộ vài bước là tới. [3]

Khoảng cách từ bãi đỗ xe đến thác nước phụ thuộc hoàn toàn vào địa điểm cụ thể mà bạn ghé thăm, vì mỗi khu vực có quy hoạch đường mòn khác nhau."
Tàu thuyền có chạy khi trời mưa không?,Tàu thuyền vẫn chạy khi mưa nhẹ nhưng tạm dừng khi có cảnh báo giông. [1],"Đối với tàu thuyền du lịch, bạn nên tránh lên thuyền khi trời âm u, nổi gió hoặc có mưa lắc rắc kéo dài để đảm bảo an toàn. [1]

Đối với tàu điện (metro), tàu thường sẽ chạy bình thường trở lại sau khi hết mưa. [2]

Thông tin về việc tàu thuyền hoạt động khi trời mưa phụ thuộc vào loại hình phương tiện; tàu du lịch đường thủy cần thận trọng cao độ vì lý do an toàn, trong khi tàu điện đô thị có thể vận hành bình thường sau khi mưa tạnh."
